,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Grande Região (Código),Brasil e Grande Região,Variável (Código),Variável,Trimestre (Código),Trimestre,Nível de instrução (Código),Nível de instrução
1,1,Brasil,1572,Mil pessoas,212930,1,Brasil,606,População,202503,3º trimestre 2025,120704,Total
2,1,Brasil,1572,Mil pessoas,14050,1,Brasil,606,População,202503,3º trimestre 2025,120706,Sem instrução e menos de 1 ano de estudo
3,1,Brasil,1572,Mil pessoas,61027,1,Brasil,606,População,202503,3º trimestre 2025,11779,Ensino fundamental incompleto ou equivalente
4,1,Brasil,1572,Mil pessoas,14032,1,Brasil,606,População,202503,3º trimestre 2025,11628,Ensino fundamental completo ou equivalente
5,1,Brasil,1572,Mil pessoas,13963,1,Brasil,606,População,202503,3º trimestre 2025,11629,Ensino médio incompleto ou equivalente
6,1,Brasil,1572,Mil pessoas,56114,1,Brasil,606,População,202503,3º trimestre 2025,11630,Ensino médio completo ou equivalente
7,1,Brasil,1572,Mil pessoas,9473,1,Brasil,606,População,202503,3º trimestre 2025,11631,Ensino superior incompleto ou equivalente
8,1,Brasil,1572,Mil pessoas,31667,1,Brasil,606,População,202503,3º trimestre 2025,11632,Ensino superior completo ou equivalente
9,1,Brasil,1572,Mil pessoas,-,1,Brasil,606,População,202503,3º trimestre 2025,11626,Não determinado
10,1,Brasil,2,%,0.0,1,Brasil,6541,Coeficiente de variação - População,202503,3º trimestre 2025,120704,Total
11,1,Brasil,2,%,0.7,1,Brasil,6541,Coeficiente de variação - População,202503,3º trimestre 2025,120706,Sem instrução e menos de 1 ano de estudo
12,1,Brasil,2,%,0.4,1,Brasil,6541,Coeficiente de variação - População,202503,3º trimestre 2025,11779,Ensino fundamental incompleto ou equivalente
13,1,Brasil,2,%,0.8,1,Brasil,6541,Coeficiente de variação - População,202503,3º trimestre 2025,11628,Ensino fundamental completo ou equivalente
14,1,Brasil,2,%,0.8,1,Brasil,6541,Coeficiente de variação - População,202503,3º trimestre 2025,11629,Ensino médio incompleto ou equivalente
15,1,Brasil,2,%,0.4,1,Brasil,6541,Coeficiente de variação - População,202503,3º trimestre 2025,11630,Ensino médio completo ou equivalente
16,1,Brasil,2,%,1.1,1,Brasil,6541,Coeficiente de variação - População,202503,3º trimestre 2025,11631,Ensino superior incompleto ou equivalente
17,1,Brasil,2,%,0.9,1,Brasil,6541,Coeficiente de variação - População,202503,3º trimestre 2025,11632,Ensino superior completo ou equivalente
18,1,Brasil,2,%,-,1,Brasil,6541,Coeficiente de variação - População,202503,3º trimestre 2025,11626,Não determinado
19,1,Brasil,2,%,100.0,1,Brasil,608,Percentual da população,202503,3º trimestre 2025,120704,Total
20,1,Brasil,2,%,7.0,1,Brasil,608,Percentual da população,202503,3º trimestre 2025,120706,Sem instrução e menos de 1 ano de estudo
21,1,Brasil,2,%,30.5,1,Brasil,608,Percentual da população,202503,3º trimestre 2025,11779,Ensino fundamental incompleto ou equivalente
22,1,Brasil,2,%,7.0,1,Brasil,608,Percentual da população,202503,3º trimestre 2025,11628,Ensino fundamental completo ou equivalente
23,1,Brasil,2,%,7.0,1,Brasil,608,Percentual da população,202503,3º trimestre 2025,11629,Ensino médio incompleto ou equivalente
24,1,Brasil,2,%,28.0,1,Brasil,608,Percentual da população,202503,3º trimestre 2025,11630,Ensino médio completo ou equivalente
25,1,Brasil,2,%,4.7,1,Brasil,608,Percentual da população,202503,3º trimestre 2025,11631,Ensino superior incompleto ou equivalente
26,1,Brasil,2,%,15.8,1,Brasil,608,Percentual da população,202503,3º trimestre 2025,11632,Ensino superior completo ou equivalente
27,1,Brasil,2,%,-,1,Brasil,608,Percentual da população,202503,3º trimestre 2025,11626,Não determinado
28,1,Brasil,2,%,-,1,Brasil,6542,Coeficiente de variação - Percentual da população,202503,3º trimestre 2025,120704,Total
29,1,Brasil,2,%,0.7,1,Brasil,6542,Coeficiente de variação - Percentual da população,202503,3º trimestre 2025,120706,Sem instrução e menos de 1 ano de estudo
30,1,Brasil,2,%,0.4,1,Brasil,6542,Coeficiente de variação - Percentual da população,202503,3º trimestre 2025,11779,Ensino fundamental incompleto ou equivalente
31,1,Brasil,2,%,0.8,1,Brasil,6542,Coeficiente de variação - Percentual da população,202503,3º trimestre 2025,11628,Ensino fundamental completo ou equivalente
32,1,Brasil,2,%,0.8,1,Brasil,6542,Coeficiente de variação - Percentual da população,202503,3º trimestre 2025,11629,Ensino médio incompleto ou equivalente
33,1,Brasil,2,%,0.4,1,Brasil,6542,Coeficiente de variação - Percentual da população,202503,3º trimestre 2025,11630,Ensino médio completo ou equivalente
34,1,Brasil,2,%,1.1,1,Brasil,6542,Coeficiente de variação - Percentual da população,202503,3º trimestre 2025,11631,Ensino superior incompleto ou equivalente
35,1,Brasil,2,%,0.9,1,Brasil,6542,Coeficiente de variação - Percentual da população,202503,3º trimestre 2025,11632,Ensino superior completo ou equivalente
36,1,Brasil,2,%,-,1,Brasil,6542,Coeficiente de variação - Percentual da população,202503,3º trimestre 2025,11626,Não determinado
37,2,Grande Região,1572,Mil pessoas,18472,1,Norte,606,População,202503,3º trimestre 2025,120704,Total
38,2,Grande Região,1572,Mil pessoas,1453,1,Norte,606,População,202503,3º trimestre 2025,120706,Sem instrução e menos de 1 ano de estudo
39,2,Grande Região,1572,Mil pessoas,5680,1,Norte,606,População,202503,3º trimestre 2025,11779,Ensino fundamental incompleto ou equivalente
40,2,Grande Região,1572,Mil pessoas,1137,1,Norte,606,População,202503,3º trimestre 2025,11628,Ensino fundamental completo ou equivalente
41,2,Grande Região,1572,Mil pessoas,1372,1,Norte,606,População,202503,3º trimestre 2025,11629,Ensino médio incompleto ou equivalente
42,2,Grande Região,1572,Mil pessoas,4705,1,Norte,606,População,202503,3º trimestre 2025,11630,Ensino médio completo ou equivalente
43,2,Grande Região,1572,Mil pessoas,789,1,Norte,606,População,202503,3º trimestre 2025,11631,Ensino superior incompleto ou equivalente
44,2,Grande Região,1572,Mil pessoas,1974,1,Norte,606,População,202503,3º trimestre 2025,11632,Ensino superior completo ou equivalente
45,2,Grande Região,1572,Mil pessoas,-,1,Norte,606,População,202503,3º trimestre 2025,11626,Não determinado
46,2,Grande Região,2,%,0.0,1,Norte,6541,Coeficiente de variação - População,202503,3º trimestre 2025,120704,Total
47,2,Grande Região,2,%,2.1,1,Norte,6541,Coeficiente de variação - População,202503,3º trimestre 2025,120706,Sem instrução e menos de 1 ano de estudo
48,2,Grande Região,2,%,1.0,1,Norte,6541,Coeficiente de variação - População,202503,3º trimestre 2025,11779,Ensino fundamental incompleto ou equivalente
49,2,Grande Região,2,%,2.2,1,Norte,6541,Coeficiente de variação - População,202503,3º trimestre 2025,11628,Ensino fundamental completo ou equivalente
50,2,Grande Região,2,%,2.1,1,Norte,6541,Coeficiente de variação - População,202503,3º trimestre 2025,11629,Ensino médio incompleto ou equivalente
51,2,Grande Região,2,%,1.2,1,Norte,6541,Coeficiente de variação - População,202503,3º trimestre 2025,11630,Ensino médio completo ou equivalente
52,2,Grande Região,2,%,3.0,1,Norte,6541,Coeficiente de variação - População,202503,3º trimestre 2025,11631,Ensino superior incompleto ou equivalente
53,2,Grande Região,2,%,2.8,1,Norte,6541,Coeficiente de variação - População,202503,3º trimestre 2025,11632,Ensino superior completo ou equivalente
54,2,Grande Região,2,%,-,1,Norte,6541,Coeficiente de variação - População,202503,3º trimestre 2025,11626,Não determinado
55,2,Grande Região,2,%,100.0,1,Norte,608,Percentual da população,202503,3º trimestre 2025,120704,Total
56,2,Grande Região,2,%,8.5,1,Norte,608,Percentual da população,202503,3º trimestre 2025,120706,Sem instrução e menos de 1 ano de estudo
57,2,Grande Região,2,%,33.2,1,Norte,608,Percentual da população,202503,3º trimestre 2025,11779,Ensino fundamental incompleto ou equivalente
58,2,Grande Região,2,%,6.6,1,Norte,608,Percentual da população,202503,3º trimestre 2025,11628,Ensino fundamental completo ou equivalente
59,2,Grande Região,2,%,8.0,1,Norte,608,Percentual da população,202503,3º trimestre 2025,11629,Ensino médio incompleto ou equivalente
60,2,Grande Região,2,%,27.5,1,Norte,608,Percentual da população,202503,3º trimestre 2025,11630,Ensino médio completo ou equivalente
61,2,Grande Região,2,%,4.6,1,Norte,608,Percentual da população,202503,3º trimestre 2025,11631,Ensino superior incompleto ou equivalente
62,2,Grande Região,2,%,11.5,1,Norte,608,Percentual da população,202503,3º trimestre 2025,11632,Ensino superior completo ou equivalente
63,2,Grande Região,2,%,-,1,Norte,608,Percentual da população,202503,3º trimestre 2025,11626,Não determinado
64,2,Grande Região,2,%,-,1,Norte,6542,Coeficiente de variação - Percentual da população,202503,3º trimestre 2025,120704,Total
