,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N,D6C,D6N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Unidade da Federação (Código),Brasil e Unidade da Federação,Variável (Código),Variável,Trimestre (Código),Trimestre,Referência temporal (Código),Referência temporal,Tipo de rebanho bovino (Código),Tipo de rebanho bovino,Tipo de inspeção (Código),Tipo de inspeção
35,1,Brasil,1020,Unidades,376,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,56,Vacas,111738,Estadual
36,1,Brasil,1020,Unidades,471,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,56,Vacas,111739,Municipal
37,1,Brasil,1020,Unidades,422,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,111734,Novilhos,118225,Total
38,1,Brasil,1020,Unidades,35,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,111734,Novilhos,111737,Federal
39,1,Brasil,1020,Unidades,126,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,111734,Novilhos,111738,Estadual
40,1,Brasil,1020,Unidades,261,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,111734,Novilhos,111739,Municipal
41,1,Brasil,1020,Unidades,590,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,111735,Novilhas,118225,Total
42,1,Brasil,1020,Unidades,110,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,111735,Novilhas,111737,Federal
43,1,Brasil,1020,Unidades,189,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,111735,Novilhas,111738,Estadual
44,1,Brasil,1020,Unidades,291,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,111735,Novilhas,111739,Municipal
45,1,Brasil,1020,Unidades,...,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,57,Vitelos e vitelas,118225,Total
46,1,Brasil,1020,Unidades,...,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,57,Vitelos e vitelas,111737,Federal
47,1,Brasil,1020,Unidades,...,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,57,Vitelos e vitelas,111738,Estadual
48,1,Brasil,1020,Unidades,...,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,57,Vitelos e vitelas,111739,Municipal
49,1,Brasil,1020,Unidades,1123,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,992,Total,118225,Total
50,1,Brasil,1020,Unidades,194,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,992,Total,111737,Federal
51,1,Brasil,1020,Unidades,407,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,992,Total,111738,Estadual
52,1,Brasil,1020,Unidades,522,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,992,Total,111739,Municipal
53,1,Brasil,1020,Unidades,1057,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,55,Bois,118225,Total
54,1,Brasil,1020,Unidades,191,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,55,Bois,111737,Federal
55,1,Brasil,1020,Unidades,382,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,55,Bois,111738,Estadual
56,1,Brasil,1020,Unidades,484,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,55,Bois,111739,Municipal
57,1,Brasil,1020,Unidades,1036,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,56,Vacas,118225,Total
58,1,Brasil,1020,Unidades,189,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,56,Vacas,111737,Federal
59,1,Brasil,1020,Unidades,376,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,56,Vacas,111738,Estadual
60,1,Brasil,1020,Unidades,471,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,56,Vacas,111739,Municipal
61,1,Brasil,1020,Unidades,422,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,111734,Novilhos,118225,Total
62,1,Brasil,1020,Unidades,35,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,111734,Novilhos,111737,Federal
63,1,Brasil,1020,Unidades,126,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,111734,Novilhos,111738,Estadual
