,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Unidade da Federação (Código),Brasil e Unidade da Federação,Variável (Código),Variável,Trimestre (Código),Trimestre,Referência temporal (Código),Referência temporal,Método de curtimento (Código),Método de curtimento
1,1,Brasil,1020,Unidades,81,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,119294,Total
2,1,Brasil,1020,Unidades,66,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,92568,Ao cromo
3,1,Brasil,1020,Unidades,17,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,92569,Ao tanino
4,1,Brasil,1020,Unidades,6,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,92570,Outros métodos
5,1,Brasil,1020,Unidades,81,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,119294,Total
6,1,Brasil,1020,Unidades,66,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,92568,Ao cromo
7,1,Brasil,1020,Unidades,17,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,92569,Ao tanino
8,1,Brasil,1020,Unidades,6,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,92570,Outros métodos
9,1,Brasil,1020,Unidades,81,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,119294,Total
10,1,Brasil,1020,Unidades,66,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,92568,Ao cromo
11,1,Brasil,1020,Unidades,17,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,92569,Ao tanino
12,1,Brasil,1020,Unidades,6,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,92570,Outros métodos
13,1,Brasil,1020,Unidades,81,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,119294,Total
14,1,Brasil,1020,Unidades,66,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,92568,Ao cromo
15,1,Brasil,1020,Unidades,17,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,92569,Ao tanino
16,1,Brasil,1020,Unidades,6,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,92570,Outros métodos
17,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,119294,Total
18,1,Brasil,2,Percentual,81.48,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,92568,Ao cromo
19,1,Brasil,2,Percentual,20.99,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,92569,Ao tanino
20,1,Brasil,2,Percentual,7.41,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,92570,Outros métodos
21,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,119294,Total
22,1,Brasil,2,Percentual,81.48,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,92568,Ao cromo
23,1,Brasil,2,Percentual,20.99,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,92569,Ao tanino
24,1,Brasil,2,Percentual,7.41,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,92570,Outros métodos
25,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,119294,Total
26,1,Brasil,2,Percentual,81.48,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,92568,Ao cromo
27,1,Brasil,2,Percentual,20.99,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,92569,Ao tanino
28,1,Brasil,2,Percentual,7.41,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,92570,Outros métodos
29,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,119294,Total
30,1,Brasil,2,Percentual,81.48,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,92568,Ao cromo
31,1,Brasil,2,Percentual,20.99,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,92569,Ao tanino
32,1,Brasil,2,Percentual,7.41,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,92570,Outros métodos
33,1,Brasil,1020,Unidades,10128804,1,Brasil,624,Quantidade de couro curtido inteiro de bovino,202503,3º trimestre 2025,115236,Total do trimestre,119294,Total
34,1,Brasil,1020,Unidades,9847554,1,Brasil,624,Quantidade de couro curtido inteiro de bovino,202503,3º trimestre 2025,115236,Total do trimestre,92568,Ao cromo
35,1,Brasil,1020,Unidades,110686,1,Brasil,624,Quantidade de couro curtido inteiro de bovino,202503,3º trimestre 2025,115236,Total do trimestre,92569,Ao tanino
36,1,Brasil,1020,Unidades,170564,1,Brasil,624,Quantidade de couro curtido inteiro de bovino,202503,3º trimestre 2025,115236,Total do trimestre,92570,Outros métodos
37,1,Brasil,1020,Unidades,3476724,1,Brasil,624,Quantidade de couro curtido inteiro de bovino,202503,3º trimestre 2025,115233,No 1º mês,119294,Total
38,1,Brasil,1020,Unidades,3368374,1,Brasil,624,Quantidade de couro curtido inteiro de bovino,202503,3º trimestre 2025,115233,No 1º mês,92568,Ao cromo
39,1,Brasil,1020,Unidades,40488,1,Brasil,624,Quantidade de couro curtido inteiro de bovino,202503,3º trimestre 2025,115233,No 1º mês,92569,Ao tanino
40,1,Brasil,1020,Unidades,67862,1,Brasil,624,Quantidade de couro curtido inteiro de bovino,202503,3º trimestre 2025,115233,No 1º mês,92570,Outros métodos
41,1,Brasil,1020,Unidades,3294713,1,Brasil,624,Quantidade de couro curtido inteiro de bovino,202503,3º trimestre 2025,115234,No 2º mês,119294,Total
42,1,Brasil,1020,Unidades,3203428,1,Brasil,624,Quantidade de couro curtido inteiro de bovino,202503,3º trimestre 2025,115234,No 2º mês,92568,Ao cromo
43,1,Brasil,1020,Unidades,35182,1,Brasil,624,Quantidade de couro curtido inteiro de bovino,202503,3º trimestre 2025,115234,No 2º mês,92569,Ao tanino
