,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,"Brasil, Grande Região e Unidade da Federação (Código)","Brasil, Grande Região e Unidade da Federação",Variável (Código),Variável,Mês (Código),Mês,Ano da safra (Código),Ano da safra,Produto das lavouras (Código),Produto das lavouras
1,1,Brasil,1006,Hectares,94866630,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,0,Total
2,1,Brasil,1006,Hectares,79671988,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39428,"1 Cereais, leguminosas e oleaginosas"
3,1,Brasil,1006,Hectares,2027897,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39429,1.1 Algodão herbáceo
4,1,Brasil,1006,Hectares,273395,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39430,1.2 Amendoim (1ª Safra)
5,1,Brasil,1006,Hectares,8337,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39431,1.3 Amendoim (2ª Safra)
6,1,Brasil,1006,Hectares,1621895,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39432,1.4 Arroz
7,1,Brasil,1006,Hectares,519454,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39433,1.5 Aveia
8,1,Brasil,1006,Hectares,3925,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39434,1.7 Centeio
9,1,Brasil,1006,Hectares,117353,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39435,1.8 Cevada
10,1,Brasil,1006,Hectares,1307774,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39436,1.9 Feijão (1ª Safra)
11,1,Brasil,1006,Hectares,1215134,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39437,1.10 Feijão (2ª Safra)
12,1,Brasil,1006,Hectares,298881,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39438,1.11 Feijão (3ª Safra)
13,1,Brasil,1006,Hectares,59278,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39439,1.13 Girassol
14,1,Brasil,1006,Hectares,52595,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39440,1.14 Mamona
15,1,Brasil,1006,Hectares,4784800,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39441,1.15 Milho (1ª Safra)
16,1,Brasil,1006,Hectares,16726471,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39442,1.16 Milho (2ª Safra)
17,1,Brasil,1006,Hectares,46328794,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39443,1.17 Soja
18,1,Brasil,1006,Hectares,1348646,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39444,1.18 Sorgo
19,1,Brasil,1006,Hectares,2959755,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39445,1.19 Trigo
20,1,Brasil,1006,Hectares,17604,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39446,1.20 Triticale
21,1,Brasil,1006,Hectares,464631,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39449,4 Banana
22,1,Brasil,1006,Hectares,58676,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39450,5 Batata - inglesa (1ª Safra)
23,1,Brasil,1006,Hectares,46263,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39451,6 Batata - inglesa (2ª Safra)
24,1,Brasil,1006,Hectares,33389,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39452,7 Batata - inglesa (3ª Safra)
25,1,Brasil,1006,Hectares,633699,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39453,8 Cacau
26,1,Brasil,1006,Hectares,1552279,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39454,9 Café arábica
27,1,Brasil,1006,Hectares,405793,1,Brasil,109,Área plantada,202511,novembro 2025,58756,Safra 2024,39455,10 Café canephora
