,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Unidade da Federação (Código),Brasil e Unidade da Federação,Variável (Código),Variável,Trimestre (Código),Trimestre,Referência temporal (Código),Referência temporal,Tipo de inspeção (Código),Tipo de inspeção
37,1,Brasil,24,Cabeças,591315868,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115233,No 1º mês,118225,Total
38,1,Brasil,24,Cabeças,531679491,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115233,No 1º mês,111737,Federal
39,1,Brasil,24,Cabeças,58315890,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115233,No 1º mês,111738,Estadual
40,1,Brasil,24,Cabeças,1320487,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115233,No 1º mês,111739,Municipal
41,1,Brasil,24,Cabeças,542500523,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115234,No 2º mês,118225,Total
42,1,Brasil,24,Cabeças,487850796,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115234,No 2º mês,111737,Federal
43,1,Brasil,24,Cabeças,53402046,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115234,No 2º mês,111738,Estadual
44,1,Brasil,24,Cabeças,1247681,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115234,No 2º mês,111739,Municipal
45,1,Brasil,24,Cabeças,555450348,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115235,No 3º mês,118225,Total
46,1,Brasil,24,Cabeças,499935500,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115235,No 3º mês,111737,Federal
47,1,Brasil,24,Cabeças,54275693,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115235,No 3º mês,111738,Estadual
48,1,Brasil,24,Cabeças,1239155,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115235,No 3º mês,111739,Municipal
49,1,Brasil,2,Percentual,100.00,1,Brasil,1000284,Animais abatidos - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,118225,Total
50,1,Brasil,2,Percentual,89.95,1,Brasil,1000284,Animais abatidos - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,111737,Federal
51,1,Brasil,2,Percentual,9.83,1,Brasil,1000284,Animais abatidos - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,111738,Estadual
52,1,Brasil,2,Percentual,0.23,1,Brasil,1000284,Animais abatidos - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,111739,Municipal
53,1,Brasil,2,Percentual,35.00,1,Brasil,1000284,Animais abatidos - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,118225,Total
54,1,Brasil,2,Percentual,31.47,1,Brasil,1000284,Animais abatidos - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,111737,Federal
55,1,Brasil,2,Percentual,3.45,1,Brasil,1000284,Animais abatidos - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,111738,Estadual
56,1,Brasil,2,Percentual,0.08,1,Brasil,1000284,Animais abatidos - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,111739,Municipal
57,1,Brasil,2,Percentual,32.11,1,Brasil,1000284,Animais abatidos - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,118225,Total
