,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N,D6C,D6N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Grande Região (Código),Brasil e Grande Região,Variável (Código),Variável,Semestre (Código),Semestre,Tipo de unidade armazenadora (Código),Tipo de unidade armazenadora,Tipo de propriedade da empresa (Código),Tipo de propriedade da empresa,Tipo de atividade do estabelecimento (Código),Tipo de atividade do estabelecimento
1,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Grande Região (Código),Brasil e Grande Região,Variável (Código),Variável,Semestre (Código),Semestre,Tipo de unidade armazenadora (Código),Tipo de unidade armazenadora,Tipo de propriedade da empresa (Código),Tipo de propriedade da empresa,Tipo de atividade do estabelecimento (Código),Tipo de atividade do estabelecimento
