,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Setores e subsetores (Código),Setores e subsetores
1,1,Brasil,30,Número-índice,292.96,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,90687,Agropecuária - total
2,1,Brasil,30,Número-índice,146.15,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,90691,Indústria - total
3,1,Brasil,30,Número-índice,269.02,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,90692,Indústrias extrativas
4,1,Brasil,30,Número-índice,117.78,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,90693,Indústrias de transformação
5,1,Brasil,30,Número-índice,215.58,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,90695,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos"
6,1,Brasil,30,Número-índice,159.95,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,90694,Construção
7,1,Brasil,30,Número-índice,203.97,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,90696,Serviços - total
8,1,Brasil,30,Número-índice,170.72,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,90697,Comércio
9,1,Brasil,30,Número-índice,177.42,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,90698,"Transporte, armazenagem e correio"
10,1,Brasil,30,Número-índice,469.17,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,90699,Informação e comunicação
11,1,Brasil,30,Número-índice,244.70,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,90700,"Atividades financeiras, de seguros e serviços relacionados"
12,1,Brasil,30,Número-índice,237.87,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,90702,Atividades imobiliárias
13,1,Brasil,30,Número-índice,205.37,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,90701,Outras atividades de serviços
14,1,Brasil,30,Número-índice,161.12,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,90703,"Administração, saúde e educação públicas e seguridade social"
15,1,Brasil,30,Número-índice,191.63,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,90705,Valor adicionado a preços básicos
16,1,Brasil,30,Número-índice,194.82,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,90707,PIB a preços de mercado
17,1,Brasil,30,Número-índice,207.40,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,93404,Despesa de consumo das famílias
18,1,Brasil,30,Número-índice,164.40,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,93405,Despesa de consumo da administração pública
19,1,Brasil,30,Número-índice,183.02,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,93406,Formação bruta de capital fixo
20,1,Brasil,30,Número-índice,396.22,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,93407,Exportação de bens e serviços
21,1,Brasil,30,Número-índice,314.22,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,93408,Importação de bens e serviços (-)
22,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Setores e subsetores (Código),Setores e subsetores
