,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Grande Região (Código),Brasil e Grande Região,Variável (Código),Variável,Trimestre (Código),Trimestre
1,1,Brasil,2,%,5.6,1,Brasil,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
2,1,Brasil,2,%,1.5,1,Brasil,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
3,1,Brasil,1722,Ponto percentual,-0.2,1,Brasil,9402,"Variação em relação ao trimestre anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
4,1,Brasil,1694,Nenhuma,Z,1,Brasil,9130,"Situação da Variação em relação ao trimestre anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
5,1,Brasil,1722,Ponto percentual,-0.8,1,Brasil,9405,"Variação em relação ao mesmo trimestre do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
6,1,Brasil,1694,Nenhuma,Z,1,Brasil,9131,"Situação da Variação em relação ao mesmo trimestre do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
7,2,Grande Região,2,%,6.2,1,Norte,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
8,2,Grande Região,2,%,3.7,1,Norte,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
9,2,Grande Região,1722,Ponto percentual,-0.3,1,Norte,9402,"Variação em relação ao trimestre anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
10,2,Grande Região,1694,Nenhuma,A,1,Norte,9130,"Situação da Variação em relação ao trimestre anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
11,2,Grande Região,1722,Ponto percentual,-0.4,1,Norte,9405,"Variação em relação ao mesmo trimestre do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
12,2,Grande Região,1694,Nenhuma,A,1,Norte,9131,"Situação da Variação em relação ao mesmo trimestre do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
13,2,Grande Região,2,%,7.8,2,Nordeste,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
14,2,Grande Região,2,%,2.1,2,Nordeste,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
15,2,Grande Região,1722,Ponto percentual,-0.4,2,Nordeste,9402,"Variação em relação ao trimestre anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
16,2,Grande Região,1694,Nenhuma,Z,2,Nordeste,9130,"Situação da Variação em relação ao trimestre anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
17,2,Grande Região,1722,Ponto percentual,-0.8,2,Nordeste,9405,"Variação em relação ao mesmo trimestre do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
18,2,Grande Região,1694,Nenhuma,Z,2,Nordeste,9131,"Situação da Variação em relação ao mesmo trimestre do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
19,2,Grande Região,2,%,5.3,3,Sudeste,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
20,2,Grande Região,2,%,2.6,3,Sudeste,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
21,2,Grande Região,1722,Ponto percentual,-0.1,3,Sudeste,9402,"Variação em relação ao trimestre anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
22,2,Grande Região,1694,Nenhuma,A,3,Sudeste,9130,"Situação da Variação em relação ao trimestre anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
23,2,Grande Região,1722,Ponto percentual,-0.9,3,Sudeste,9405,"Variação em relação ao mesmo trimestre do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
24,2,Grande Região,1694,Nenhuma,Z,3,Sudeste,9131,"Situação da Variação em relação ao mesmo trimestre do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
25,2,Grande Região,2,%,3.4,4,Sul,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
26,2,Grande Região,2,%,3.1,4,Sul,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
27,2,Grande Região,1722,Ponto percentual,-0.2,4,Sul,9402,"Variação em relação ao trimestre anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
28,2,Grande Região,1694,Nenhuma,A,4,Sul,9130,"Situação da Variação em relação ao trimestre anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
29,2,Grande Região,1722,Ponto percentual,-0.7,4,Sul,9405,"Variação em relação ao mesmo trimestre do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
30,2,Grande Região,1694,Nenhuma,Z,4,Sul,9131,"Situação da Variação em relação ao mesmo trimestre do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
31,2,Grande Região,2,%,4.4,5,Centro-Oeste,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
32,2,Grande Região,2,%,4.1,5,Centro-Oeste,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
33,2,Grande Região,1722,Ponto percentual,-0.2,5,Centro-Oeste,9402,"Variação em relação ao trimestre anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
34,2,Grande Região,1694,Nenhuma,A,5,Centro-Oeste,9130,"Situação da Variação em relação ao trimestre anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
35,2,Grande Região,1722,Ponto percentual,-0.5,5,Centro-Oeste,9405,"Variação em relação ao mesmo trimestre do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
36,2,Grande Região,1694,Nenhuma,A,5,Centro-Oeste,9131,"Situação da Variação em relação ao mesmo trimestre do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",202503,3º trimestre 2025
37,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Grande Região (Código),Brasil e Grande Região,Variável (Código),Variável,Trimestre (Código),Trimestre
