,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
51,1,Brasil,2,%,1.8,1,Brasil,6563,Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90696,Serviços - total
52,1,Brasil,2,%,1.4,1,Brasil,6563,Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90697,Comércio
53,1,Brasil,2,%,2.2,1,Brasil,6563,Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90698,"Transporte, armazenagem e correio"
54,1,Brasil,2,%,6.2,1,Brasil,6563,Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90699,Informação e comunicação
55,1,Brasil,2,%,2.4,1,Brasil,6563,Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90700,"Atividades financeiras, de seguros e serviços relacionados"
56,1,Brasil,2,%,2.0,1,Brasil,6563,Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90702,Atividades imobiliárias
57,1,Brasil,2,%,2.0,1,Brasil,6563,Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90701,Outras atividades de serviços
58,1,Brasil,2,%,0.3,1,Brasil,6563,Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90703,"Administração, saúde e educação públicas e seguridade social"
59,1,Brasil,2,%,2.5,1,Brasil,6563,Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90705,Valor adicionado a preços básicos
60,1,Brasil,2,%,1.9,1,Brasil,6563,Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90706,Impostos líquidos sobre produtos
61,1,Brasil,2,%,2.4,1,Brasil,6563,Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90707,PIB a preços de mercado
62,1,Brasil,2,%,1.4,1,Brasil,6563,Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,93404,Despesa de consumo das famílias
63,1,Brasil,2,%,1.6,1,Brasil,6563,Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,93405,Despesa de consumo da administração pública
64,1,Brasil,2,%,5.0,1,Brasil,6563,Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,93406,Formação bruta de capital fixo
65,1,Brasil,2,%,3.6,1,Brasil,6563,Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,93407,Exportação de bens e serviços
66,1,Brasil,2,%,6.2,1,Brasil,6563,Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,93408,Importação de bens e serviços (-)
67,1,Brasil,2,%,0.4,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,90687,Agropecuária - total
68,1,Brasil,2,%,0.8,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,90691,Indústria - total
69,1,Brasil,2,%,1.7,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,90692,Indústrias extrativas
70,1,Brasil,2,%,0.3,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,90693,Indústrias de transformação
71,1,Brasil,2,%,-1.0,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,90695,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos"
72,1,Brasil,2,%,1.3,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,90694,Construção
73,1,Brasil,2,%,0.1,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,90696,Serviços - total
74,1,Brasil,2,%,0.4,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,90697,Comércio
75,1,Brasil,2,%,2.7,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,90698,"Transporte, armazenagem e correio"
76,1,Brasil,2,%,1.5,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,90699,Informação e comunicação
