,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
36,2,Grande Região,2,%,5.03,3,Sudeste,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
37,2,Grande Região,38,Reais,2159.46,4,Sul,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
38,2,Grande Região,38,Reais,1119.00,4,Sul,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
39,2,Grande Região,38,Reais,1040.46,4,Sul,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
40,2,Grande Região,30,Número-índice,1032.54,4,Sul,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
41,2,Grande Região,30,Número-índice,830.95,4,Sul,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
42,2,Grande Região,30,Número-índice,1522.51,4,Sul,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
43,2,Grande Região,2,%,0.35,4,Sul,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
44,2,Grande Região,2,%,5.71,4,Sul,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
45,2,Grande Região,2,%,5.95,4,Sul,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
46,2,Grande Região,38,Reais,2026.22,5,Centro-Oeste,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
47,2,Grande Região,38,Reais,1120.50,5,Centro-Oeste,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
48,2,Grande Região,38,Reais,905.72,5,Centro-Oeste,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
49,2,Grande Região,30,Número-índice,1034.11,5,Centro-Oeste,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
50,2,Grande Região,30,Número-índice,853.15,5,Centro-Oeste,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
51,2,Grande Região,30,Número-índice,1495.13,5,Centro-Oeste,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
52,2,Grande Região,2,%,0.14,5,Centro-Oeste,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
53,2,Grande Região,2,%,6.02,5,Centro-Oeste,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
54,2,Grande Região,2,%,6.30,5,Centro-Oeste,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
55,3,Unidade da Federação,38,Reais,2210.27,11,Rondônia,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
56,3,Unidade da Federação,38,Reais,1256.48,11,Rondônia,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
57,3,Unidade da Federação,38,Reais,953.79,11,Rondônia,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
58,3,Unidade da Federação,30,Número-índice,1232.55,11,Rondônia,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
59,3,Unidade da Federação,30,Número-índice,956.79,11,Rondônia,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
60,3,Unidade da Federação,30,Número-índice,2179.76,11,Rondônia,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
61,3,Unidade da Federação,2,%,0.05,11,Rondônia,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
62,3,Unidade da Federação,2,%,5.02,11,Rondônia,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
63,3,Unidade da Federação,2,%,5.04,11,Rondônia,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
64,3,Unidade da Federação,38,Reais,2256.49,12,Acre,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
65,3,Unidade da Federação,38,Reais,1305.21,12,Acre,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
66,3,Unidade da Federação,38,Reais,951.28,12,Acre,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
67,3,Unidade da Federação,30,Número-índice,1197.67,12,Acre,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
68,3,Unidade da Federação,30,Número-índice,948.11,12,Acre,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
69,3,Unidade da Federação,30,Número-índice,1959.31,12,Acre,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
70,3,Unidade da Federação,2,%,0.07,12,Acre,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
71,3,Unidade da Federação,2,%,8.21,12,Acre,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
72,3,Unidade da Federação,2,%,8.65,12,Acre,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
73,3,Unidade da Federação,38,Reais,2011.12,13,Amazonas,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
74,3,Unidade da Federação,38,Reais,1098.99,13,Amazonas,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
75,3,Unidade da Federação,38,Reais,912.13,13,Amazonas,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
76,3,Unidade da Federação,30,Número-índice,984.67,13,Amazonas,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
77,3,Unidade da Federação,30,Número-índice,812.04,13,Amazonas,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
78,3,Unidade da Federação,30,Número-índice,1375.46,13,Amazonas,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
79,3,Unidade da Federação,2,%,0.00,13,Amazonas,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
80,3,Unidade da Federação,2,%,3.86,13,Amazonas,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
81,3,Unidade da Federação,2,%,3.79,13,Amazonas,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
82,3,Unidade da Federação,38,Reais,2205.91,14,Roraima,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
