,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
38,3,Unidade da Federação,2,Percentual,-,11,Rondônia,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês
39,3,Unidade da Federação,2,Percentual,-,11,Rondônia,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês
40,3,Unidade da Federação,2,Percentual,-,11,Rondônia,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês
41,3,Unidade da Federação,1020,Unidades,997458,11,Rondônia,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115236,Total do trimestre
42,3,Unidade da Federação,1020,Unidades,353050,11,Rondônia,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115233,No 1º mês
43,3,Unidade da Federação,1020,Unidades,325824,11,Rondônia,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115234,No 2º mês
44,3,Unidade da Federação,1020,Unidades,318584,11,Rondônia,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115235,No 3º mês
45,3,Unidade da Federação,2,Percentual,100.00,11,Rondônia,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115236,Total do trimestre
46,3,Unidade da Federação,2,Percentual,35.39,11,Rondônia,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115233,No 1º mês
47,3,Unidade da Federação,2,Percentual,32.67,11,Rondônia,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115234,No 2º mês
48,3,Unidade da Federação,2,Percentual,31.94,11,Rondônia,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115235,No 3º mês
49,3,Unidade da Federação,1020,Unidades,1,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre
50,3,Unidade da Federação,1020,Unidades,1,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês
51,3,Unidade da Federação,1020,Unidades,1,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês
52,3,Unidade da Federação,1020,Unidades,1,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês
53,3,Unidade da Federação,2,Percentual,100.00,12,Acre,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre
54,3,Unidade da Federação,2,Percentual,100.00,12,Acre,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês
55,3,Unidade da Federação,2,Percentual,100.00,12,Acre,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês
56,3,Unidade da Federação,2,Percentual,100.00,12,Acre,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês
57,3,Unidade da Federação,1020,Unidades,-,12,Acre,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115236,Total do trimestre
58,3,Unidade da Federação,1020,Unidades,-,12,Acre,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115233,No 1º mês
59,3,Unidade da Federação,1020,Unidades,-,12,Acre,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115234,No 2º mês
60,3,Unidade da Federação,1020,Unidades,-,12,Acre,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115235,No 3º mês
61,3,Unidade da Federação,2,Percentual,-,12,Acre,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre
62,3,Unidade da Federação,2,Percentual,-,12,Acre,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês
63,3,Unidade da Federação,2,Percentual,-,12,Acre,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês
64,3,Unidade da Federação,2,Percentual,-,12,Acre,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês
65,3,Unidade da Federação,1020,Unidades,X,12,Acre,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115236,Total do trimestre
66,3,Unidade da Federação,1020,Unidades,X,12,Acre,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115233,No 1º mês
67,3,Unidade da Federação,1020,Unidades,X,12,Acre,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115234,No 2º mês
68,3,Unidade da Federação,1020,Unidades,X,12,Acre,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115235,No 3º mês
69,3,Unidade da Federação,2,Percentual,X,12,Acre,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115236,Total do trimestre
70,3,Unidade da Federação,2,Percentual,X,12,Acre,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115233,No 1º mês
71,3,Unidade da Federação,2,Percentual,X,12,Acre,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115234,No 2º mês
72,3,Unidade da Federação,2,Percentual,X,12,Acre,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115235,No 3º mês
73,3,Unidade da Federação,1020,Unidades,1,13,Amazonas,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre
74,3,Unidade da Federação,1020,Unidades,1,13,Amazonas,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês
75,3,Unidade da Federação,1020,Unidades,1,13,Amazonas,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês
76,3,Unidade da Federação,1020,Unidades,1,13,Amazonas,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês
77,3,Unidade da Federação,2,Percentual,100.00,13,Amazonas,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre
78,3,Unidade da Federação,2,Percentual,100.00,13,Amazonas,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês
79,3,Unidade da Federação,2,Percentual,100.00,13,Amazonas,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês
80,3,Unidade da Federação,2,Percentual,100.00,13,Amazonas,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês
81,3,Unidade da Federação,1020,Unidades,-,13,Amazonas,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115236,Total do trimestre
82,3,Unidade da Federação,1020,Unidades,-,13,Amazonas,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115233,No 1º mês
83,3,Unidade da Federação,1020,Unidades,-,13,Amazonas,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115234,No 2º mês
84,3,Unidade da Federação,1020,Unidades,-,13,Amazonas,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115235,No 3º mês
85,3,Unidade da Federação,2,Percentual,-,13,Amazonas,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre
86,3,Unidade da Federação,2,Percentual,-,13,Amazonas,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês
87,3,Unidade da Federação,2,Percentual,-,13,Amazonas,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês
88,3,Unidade da Federação,2,Percentual,-,13,Amazonas,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês
89,3,Unidade da Federação,1020,Unidades,X,13,Amazonas,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115236,Total do trimestre
90,3,Unidade da Federação,1020,Unidades,X,13,Amazonas,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115233,No 1º mês
91,3,Unidade da Federação,1020,Unidades,X,13,Amazonas,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115234,No 2º mês
