,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Unidade da Federação (Código),Brasil e Unidade da Federação,Variável (Código),Variável,Trimestre (Código),Trimestre,Referência temporal (Código),Referência temporal,Finalidade da produção (Código),Finalidade da produção
34,1,Brasil,23,Mil dúzias,410446,1,Brasil,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115235,No 3º mês,72208,Total
35,1,Brasil,23,Mil dúzias,336258,1,Brasil,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115235,No 3º mês,72207,Consumo
36,1,Brasil,23,Mil dúzias,74188,1,Brasil,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115235,No 3º mês,72206,Incubação
37,1,Brasil,2,Percentual,100.00,1,Brasil,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,72208,Total
38,1,Brasil,2,Percentual,82.10,1,Brasil,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,72207,Consumo
39,1,Brasil,2,Percentual,17.90,1,Brasil,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,72206,Incubação
40,1,Brasil,2,Percentual,33.47,1,Brasil,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,72208,Total
41,1,Brasil,2,Percentual,27.55,1,Brasil,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,72207,Consumo
42,1,Brasil,2,Percentual,5.93,1,Brasil,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,72206,Incubação
43,1,Brasil,2,Percentual,33.34,1,Brasil,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,72208,Total
44,1,Brasil,2,Percentual,27.36,1,Brasil,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,72207,Consumo
45,1,Brasil,2,Percentual,5.98,1,Brasil,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,72206,Incubação
46,1,Brasil,2,Percentual,33.19,1,Brasil,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,72208,Total
47,1,Brasil,2,Percentual,27.19,1,Brasil,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,72207,Consumo
48,1,Brasil,2,Percentual,6.00,1,Brasil,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,72206,Incubação
49,3,Unidade da Federação,1020,Unidades,15,11,Rondônia,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,72208,Total
50,3,Unidade da Federação,1020,Unidades,15,11,Rondônia,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,72207,Consumo
51,3,Unidade da Federação,1020,Unidades,-,11,Rondônia,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,72206,Incubação
52,3,Unidade da Federação,1020,Unidades,15,11,Rondônia,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,72208,Total
53,3,Unidade da Federação,1020,Unidades,15,11,Rondônia,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,72207,Consumo
54,3,Unidade da Federação,1020,Unidades,-,11,Rondônia,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,72206,Incubação
55,3,Unidade da Federação,1020,Unidades,15,11,Rondônia,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,72208,Total
56,3,Unidade da Federação,1020,Unidades,15,11,Rondônia,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,72207,Consumo
57,3,Unidade da Federação,1020,Unidades,-,11,Rondônia,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,72206,Incubação
58,3,Unidade da Federação,1020,Unidades,15,11,Rondônia,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,72208,Total
59,3,Unidade da Federação,1020,Unidades,15,11,Rondônia,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,72207,Consumo
60,3,Unidade da Federação,1020,Unidades,-,11,Rondônia,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,72206,Incubação
61,3,Unidade da Federação,24,Cabeças,1009219,11,Rondônia,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115236,Total do trimestre,72208,Total
62,3,Unidade da Federação,24,Cabeças,1009219,11,Rondônia,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115236,Total do trimestre,72207,Consumo
63,3,Unidade da Federação,24,Cabeças,-,11,Rondônia,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115236,Total do trimestre,72206,Incubação
64,3,Unidade da Federação,24,Cabeças,992210,11,Rondônia,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115233,No 1º mês,72208,Total
65,3,Unidade da Federação,24,Cabeças,992210,11,Rondônia,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115233,No 1º mês,72207,Consumo
66,3,Unidade da Federação,24,Cabeças,-,11,Rondônia,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115233,No 1º mês,72206,Incubação
67,3,Unidade da Federação,24,Cabeças,995146,11,Rondônia,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115234,No 2º mês,72208,Total
68,3,Unidade da Federação,24,Cabeças,995146,11,Rondônia,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115234,No 2º mês,72207,Consumo
69,3,Unidade da Federação,24,Cabeças,-,11,Rondônia,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115234,No 2º mês,72206,Incubação
70,3,Unidade da Federação,24,Cabeças,1040302,11,Rondônia,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115235,No 3º mês,72208,Total
71,3,Unidade da Federação,24,Cabeças,1040302,11,Rondônia,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115235,No 3º mês,72207,Consumo
72,3,Unidade da Federação,24,Cabeças,-,11,Rondônia,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115235,No 3º mês,72206,Incubação
73,3,Unidade da Federação,23,Mil dúzias,5565,11,Rondônia,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115236,Total do trimestre,72208,Total
74,3,Unidade da Federação,23,Mil dúzias,5565,11,Rondônia,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115236,Total do trimestre,72207,Consumo
75,3,Unidade da Federação,23,Mil dúzias,-,11,Rondônia,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115236,Total do trimestre,72206,Incubação
76,3,Unidade da Federação,23,Mil dúzias,1928,11,Rondônia,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115233,No 1º mês,72208,Total
77,3,Unidade da Federação,23,Mil dúzias,1928,11,Rondônia,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115233,No 1º mês,72207,Consumo
78,3,Unidade da Federação,23,Mil dúzias,-,11,Rondônia,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115233,No 1º mês,72206,Incubação
79,3,Unidade da Federação,23,Mil dúzias,1823,11,Rondônia,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115234,No 2º mês,72208,Total
80,3,Unidade da Federação,23,Mil dúzias,1823,11,Rondônia,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115234,No 2º mês,72207,Consumo
81,3,Unidade da Federação,23,Mil dúzias,-,11,Rondônia,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115234,No 2º mês,72206,Incubação
82,3,Unidade da Federação,23,Mil dúzias,1814,11,Rondônia,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115235,No 3º mês,72208,Total
83,3,Unidade da Federação,23,Mil dúzias,1814,11,Rondônia,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115235,No 3º mês,72207,Consumo
84,3,Unidade da Federação,23,Mil dúzias,-,11,Rondônia,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115235,No 3º mês,72206,Incubação
85,3,Unidade da Federação,2,Percentual,100.00,11,Rondônia,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,72208,Total
86,3,Unidade da Federação,2,Percentual,100.00,11,Rondônia,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,72207,Consumo
87,3,Unidade da Federação,2,Percentual,-,11,Rondônia,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,72206,Incubação
88,3,Unidade da Federação,2,Percentual,34.65,11,Rondônia,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,72208,Total
89,3,Unidade da Federação,2,Percentual,34.65,11,Rondônia,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,72207,Consumo
90,3,Unidade da Federação,2,Percentual,-,11,Rondônia,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,72206,Incubação
91,3,Unidade da Federação,2,Percentual,32.76,11,Rondônia,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,72208,Total
92,3,Unidade da Federação,2,Percentual,32.76,11,Rondônia,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,72207,Consumo
93,3,Unidade da Federação,2,Percentual,-,11,Rondônia,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,72206,Incubação
94,3,Unidade da Federação,2,Percentual,32.60,11,Rondônia,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,72208,Total
95,3,Unidade da Federação,2,Percentual,32.60,11,Rondônia,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,72207,Consumo
96,3,Unidade da Federação,2,Percentual,-,11,Rondônia,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,72206,Incubação
97,3,Unidade da Federação,1020,Unidades,4,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,72208,Total
98,3,Unidade da Federação,1020,Unidades,4,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,72207,Consumo
99,3,Unidade da Federação,1020,Unidades,-,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,72206,Incubação
100,3,Unidade da Federação,1020,Unidades,4,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,72208,Total
101,3,Unidade da Federação,1020,Unidades,4,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,72207,Consumo
102,3,Unidade da Federação,1020,Unidades,-,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,72206,Incubação
103,3,Unidade da Federação,1020,Unidades,4,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,72208,Total
104,3,Unidade da Federação,1020,Unidades,4,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,72207,Consumo
105,3,Unidade da Federação,1020,Unidades,-,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,72206,Incubação
106,3,Unidade da Federação,1020,Unidades,4,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,72208,Total
107,3,Unidade da Federação,1020,Unidades,4,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,72207,Consumo
108,3,Unidade da Federação,1020,Unidades,-,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,72206,Incubação
109,3,Unidade da Federação,24,Cabeças,324614,12,Acre,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115236,Total do trimestre,72208,Total
110,3,Unidade da Federação,24,Cabeças,324614,12,Acre,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115236,Total do trimestre,72207,Consumo
111,3,Unidade da Federação,24,Cabeças,-,12,Acre,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115236,Total do trimestre,72206,Incubação
112,3,Unidade da Federação,24,Cabeças,336833,12,Acre,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115233,No 1º mês,72208,Total
113,3,Unidade da Federação,24,Cabeças,336833,12,Acre,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115233,No 1º mês,72207,Consumo
114,3,Unidade da Federação,24,Cabeças,-,12,Acre,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115233,No 1º mês,72206,Incubação
115,3,Unidade da Federação,24,Cabeças,329379,12,Acre,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115234,No 2º mês,72208,Total
116,3,Unidade da Federação,24,Cabeças,329379,12,Acre,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115234,No 2º mês,72207,Consumo
117,3,Unidade da Federação,24,Cabeças,-,12,Acre,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115234,No 2º mês,72206,Incubação
118,3,Unidade da Federação,24,Cabeças,307630,12,Acre,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115235,No 3º mês,72208,Total
119,3,Unidade da Federação,24,Cabeças,307630,12,Acre,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115235,No 3º mês,72207,Consumo
120,3,Unidade da Federação,24,Cabeças,-,12,Acre,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115235,No 3º mês,72206,Incubação
