,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Instrumento financeiro (Código),Instrumento financeiro
1,1,Brasil,1550,Milhões de Reais,10955,1,Brasil,1141,Variações de ativos,202503,3º trimestre 2025,100998,F.1 - Ouro monetário e direito especial de saque
2,1,Brasil,1550,Milhões de Reais,-9200,1,Brasil,1141,Variações de ativos,202503,3º trimestre 2025,100999,F.2 - Numerário e depósitos
3,1,Brasil,1550,Milhões de Reais,61189,1,Brasil,1141,Variações de ativos,202503,3º trimestre 2025,101000,F.3 - Títulos de dívidas
4,1,Brasil,1550,Milhões de Reais,3677,1,Brasil,1141,Variações de ativos,202503,3º trimestre 2025,101001,F.31 - Títulos de dívidas - curto prazo
5,1,Brasil,1550,Milhões de Reais,57512,1,Brasil,1141,Variações de ativos,202503,3º trimestre 2025,101002,F.32 - Títulos de dívidas - longo prazo
6,1,Brasil,1550,Milhões de Reais,3238,1,Brasil,1141,Variações de ativos,202503,3º trimestre 2025,101003,F.4 - Empréstimos
7,1,Brasil,1550,Milhões de Reais,1573,1,Brasil,1141,Variações de ativos,202503,3º trimestre 2025,101004,F.41 - Empréstimos - curto prazo
8,1,Brasil,1550,Milhões de Reais,1665,1,Brasil,1141,Variações de ativos,202503,3º trimestre 2025,101005,F.42 - Empréstimos - longo prazo
9,1,Brasil,1550,Milhões de Reais,38908,1,Brasil,1141,Variações de ativos,202503,3º trimestre 2025,101006,F.5 - Participações de capital e em fundos de investimentos
10,1,Brasil,1550,Milhões de Reais,-102,1,Brasil,1141,Variações de ativos,202503,3º trimestre 2025,39475,"F.6 - Planos de seguros, de previdência e regime de garantias padronizadas"
11,1,Brasil,1550,Milhões de Reais,-35575,1,Brasil,1141,Variações de ativos,202503,3º trimestre 2025,101007,F.7 - Derivativos financeiros
12,1,Brasil,1550,Milhões de Reais,51217,1,Brasil,1141,Variações de ativos,202503,3º trimestre 2025,101008,F.8 - Outras contas a receber/pagar
13,1,Brasil,1550,Milhões de Reais,6139,1,Brasil,1141,Variações de ativos,202503,3º trimestre 2025,101009,F.81 - Créditos comerciais e adiantamentos
14,1,Brasil,1550,Milhões de Reais,45078,1,Brasil,1141,Variações de ativos,202503,3º trimestre 2025,39476,F.89 - Outros
15,1,Brasil,1550,Milhões de Reais,120630,1,Brasil,1141,Variações de ativos,202503,3º trimestre 2025,101010,Total da variação do ativo
16,1,Brasil,1550,Milhões de Reais,-,1,Brasil,1141,Variações de ativos,202503,3º trimestre 2025,101011,Total da variação do passivo
17,1,Brasil,1550,Milhões de Reais,-,1,Brasil,1141,Variações de ativos,202503,3º trimestre 2025,39477,B.9 - Capacidade (+) / necessidade (-) líquida de financiamento
18,1,Brasil,1550,Milhões de Reais,-,1,Brasil,1141,Variações de ativos,202503,3º trimestre 2025,39478,Memorandum (investimento direto no país)
19,1,Brasil,1550,Milhões de Reais,-,1,Brasil,1142,Variações de passivo e patrimônio líquido,202503,3º trimestre 2025,100998,F.1 - Ouro monetário e direito especial de saque
20,1,Brasil,1550,Milhões de Reais,-266,1,Brasil,1142,Variações de passivo e patrimônio líquido,202503,3º trimestre 2025,100999,F.2 - Numerário e depósitos
21,1,Brasil,1550,Milhões de Reais,49850,1,Brasil,1142,Variações de passivo e patrimônio líquido,202503,3º trimestre 2025,101000,F.3 - Títulos de dívidas
22,1,Brasil,1550,Milhões de Reais,-1372,1,Brasil,1142,Variações de passivo e patrimônio líquido,202503,3º trimestre 2025,101001,F.31 - Títulos de dívidas - curto prazo
23,1,Brasil,1550,Milhões de Reais,51222,1,Brasil,1142,Variações de passivo e patrimônio líquido,202503,3º trimestre 2025,101002,F.32 - Títulos de dívidas - longo prazo
24,1,Brasil,1550,Milhões de Reais,56653,1,Brasil,1142,Variações de passivo e patrimônio líquido,202503,3º trimestre 2025,101003,F.4 - Empréstimos
25,1,Brasil,1550,Milhões de Reais,15057,1,Brasil,1142,Variações de passivo e patrimônio líquido,202503,3º trimestre 2025,101004,F.41 - Empréstimos - curto prazo
26,1,Brasil,1550,Milhões de Reais,41596,1,Brasil,1142,Variações de passivo e patrimônio líquido,202503,3º trimestre 2025,101005,F.42 - Empréstimos - longo prazo
27,1,Brasil,1550,Milhões de Reais,109082,1,Brasil,1142,Variações de passivo e patrimônio líquido,202503,3º trimestre 2025,101006,F.5 - Participações de capital e em fundos de investimentos
28,1,Brasil,1550,Milhões de Reais,1,1,Brasil,1142,Variações de passivo e patrimônio líquido,202503,3º trimestre 2025,39475,"F.6 - Planos de seguros, de previdência e regime de garantias padronizadas"
29,1,Brasil,1550,Milhões de Reais,-25412,1,Brasil,1142,Variações de passivo e patrimônio líquido,202503,3º trimestre 2025,101007,F.7 - Derivativos financeiros
30,1,Brasil,1550,Milhões de Reais,35473,1,Brasil,1142,Variações de passivo e patrimônio líquido,202503,3º trimestre 2025,101008,F.8 - Outras contas a receber/pagar
31,1,Brasil,1550,Milhões de Reais,35473,1,Brasil,1142,Variações de passivo e patrimônio líquido,202503,3º trimestre 2025,101009,F.81 - Créditos comerciais e adiantamentos
32,1,Brasil,1550,Milhões de Reais,-,1,Brasil,1142,Variações de passivo e patrimônio líquido,202503,3º trimestre 2025,39476,F.89 - Outros
33,1,Brasil,1550,Milhões de Reais,-,1,Brasil,1142,Variações de passivo e patrimônio líquido,202503,3º trimestre 2025,101010,Total da variação do ativo
34,1,Brasil,1550,Milhões de Reais,225381,1,Brasil,1142,Variações de passivo e patrimônio líquido,202503,3º trimestre 2025,101011,Total da variação do passivo
35,1,Brasil,1550,Milhões de Reais,-104751,1,Brasil,1142,Variações de passivo e patrimônio líquido,202503,3º trimestre 2025,39477,B.9 - Capacidade (+) / necessidade (-) líquida de financiamento
36,1,Brasil,1550,Milhões de Reais,148635,1,Brasil,1142,Variações de passivo e patrimônio líquido,202503,3º trimestre 2025,39478,Memorandum (investimento direto no país)
37,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Instrumento financeiro (Código),Instrumento financeiro
