,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,"Brasil, Grande Região e Unidade da Federação (Código)","Brasil, Grande Região e Unidade da Federação",Variável (Código),Variável,Mês (Código),Mês
1,1,Brasil,38,Reais,1882.06,1,Brasil,48,Custo médio m² - moeda corrente,202511,novembro 2025
2,1,Brasil,38,Reais,1075.50,1,Brasil,2119,Custo médio m² - componente material - moeda corrente,202511,novembro 2025
3,1,Brasil,38,Reais,806.56,1,Brasil,2120,Custo médio m² - componente mão-de-obra - moeda corrente,202511,novembro 2025
4,1,Brasil,30,Número-índice,941.96,1,Brasil,49,Custo médio m² - número-índice,202511,novembro 2025
5,1,Brasil,30,Número-índice,814.75,1,Brasil,1193,Custo médio m² - componente material - número-índice,202511,novembro 2025
6,1,Brasil,30,Número-índice,1272.62,1,Brasil,1232,Custo médio m² - componente mão-de-obra - número-índice,202511,novembro 2025
7,1,Brasil,2,%,0.25,1,Brasil,1196,Custo médio m² - variação percentual no mês,202511,novembro 2025
8,1,Brasil,2,%,5.09,1,Brasil,1197,Custo médio m² - variação percentual no ano,202511,novembro 2025
9,1,Brasil,2,%,5.31,1,Brasil,1198,Custo médio m² - variação percentual em doze meses,202511,novembro 2025
10,2,Grande Região,38,Reais,1942.32,1,Norte,48,Custo médio m² - moeda corrente,202511,novembro 2025
11,2,Grande Região,38,Reais,1175.81,1,Norte,2119,Custo médio m² - componente material - moeda corrente,202511,novembro 2025
12,2,Grande Região,38,Reais,766.51,1,Norte,2120,Custo médio m² - componente mão-de-obra - moeda corrente,202511,novembro 2025
13,2,Grande Região,30,Número-índice,967.73,1,Norte,49,Custo médio m² - número-índice,202511,novembro 2025
14,2,Grande Região,30,Número-índice,868.96,1,Norte,1193,Custo médio m² - componente material - número-índice,202511,novembro 2025
15,2,Grande Região,30,Número-índice,1235.27,1,Norte,1232,Custo médio m² - componente mão-de-obra - número-índice,202511,novembro 2025
16,2,Grande Região,2,%,0.17,1,Norte,1196,Custo médio m² - variação percentual no mês,202511,novembro 2025
17,2,Grande Região,2,%,4.55,1,Norte,1197,Custo médio m² - variação percentual no ano,202511,novembro 2025
18,2,Grande Região,2,%,4.84,1,Norte,1198,Custo médio m² - variação percentual em doze meses,202511,novembro 2025
19,2,Grande Região,38,Reais,1752.28,2,Nordeste,48,Custo médio m² - moeda corrente,202511,novembro 2025
20,2,Grande Região,38,Reais,1044.96,2,Nordeste,2119,Custo médio m² - componente material - moeda corrente,202511,novembro 2025
21,2,Grande Região,38,Reais,707.32,2,Nordeste,2120,Custo médio m² - componente mão-de-obra - moeda corrente,202511,novembro 2025
22,2,Grande Região,30,Número-índice,946.76,2,Nordeste,49,Custo médio m² - número-índice,202511,novembro 2025
23,2,Grande Região,30,Número-índice,806.40,2,Nordeste,1193,Custo médio m² - componente material - número-índice,202511,novembro 2025
24,2,Grande Região,30,Número-índice,1367.93,2,Nordeste,1232,Custo médio m² - componente mão-de-obra - número-índice,202511,novembro 2025
25,2,Grande Região,2,%,0.16,2,Nordeste,1196,Custo médio m² - variação percentual no mês,202511,novembro 2025
26,2,Grande Região,2,%,5.31,2,Nordeste,1197,Custo médio m² - variação percentual no ano,202511,novembro 2025
27,2,Grande Região,2,%,5.48,2,Nordeste,1198,Custo médio m² - variação percentual em doze meses,202511,novembro 2025
28,2,Grande Região,38,Reais,1924.15,3,Sudeste,48,Custo médio m² - moeda corrente,202511,novembro 2025
29,2,Grande Região,38,Reais,1057.84,3,Sudeste,2119,Custo médio m² - componente material - moeda corrente,202511,novembro 2025
30,2,Grande Região,38,Reais,866.31,3,Sudeste,2120,Custo médio m² - componente mão-de-obra - moeda corrente,202511,novembro 2025
31,2,Grande Região,30,Número-índice,921.14,3,Sudeste,49,Custo médio m² - número-índice,202511,novembro 2025
32,2,Grande Região,30,Número-índice,802.76,3,Sudeste,1193,Custo médio m² - componente material - número-índice,202511,novembro 2025
33,2,Grande Região,30,Número-índice,1208.85,3,Sudeste,1232,Custo médio m² - componente mão-de-obra - número-índice,202511,novembro 2025
34,2,Grande Região,2,%,0.34,3,Sudeste,1196,Custo médio m² - variação percentual no mês,202511,novembro 2025
35,2,Grande Região,2,%,4.74,3,Sudeste,1197,Custo médio m² - variação percentual no ano,202511,novembro 2025
36,2,Grande Região,2,%,4.96,3,Sudeste,1198,Custo médio m² - variação percentual em doze meses,202511,novembro 2025
37,2,Grande Região,38,Reais,2019.37,4,Sul,48,Custo médio m² - moeda corrente,202511,novembro 2025
38,2,Grande Região,38,Reais,1104.55,4,Sul,2119,Custo médio m² - componente material - moeda corrente,202511,novembro 2025
39,2,Grande Região,38,Reais,914.82,4,Sul,2120,Custo médio m² - componente mão-de-obra - moeda corrente,202511,novembro 2025
40,2,Grande Região,30,Número-índice,965.87,4,Sul,49,Custo médio m² - número-índice,202511,novembro 2025
41,2,Grande Região,30,Número-índice,819.97,4,Sul,1193,Custo médio m² - componente material - número-índice,202511,novembro 2025
42,2,Grande Região,30,Número-índice,1338.43,4,Sul,1232,Custo médio m² - componente mão-de-obra - número-índice,202511,novembro 2025
43,2,Grande Região,2,%,0.34,4,Sul,1196,Custo médio m² - variação percentual no mês,202511,novembro 2025
44,2,Grande Região,2,%,5.62,4,Sul,1197,Custo médio m² - variação percentual no ano,202511,novembro 2025
