,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Setores e subsetores (Código),Setores e subsetores
1,1,Brasil,1550,Milhões de Reais,25914.09,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,90687,Agropecuária - total
2,1,Brasil,1550,Milhões de Reais,60314.81,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,90691,Indústria - total
3,1,Brasil,1550,Milhões de Reais,2966.87,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,90692,Indústrias extrativas
4,1,Brasil,1550,Milhões de Reais,30229.93,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,90693,Indústrias de transformação
5,1,Brasil,1550,Milhões de Reais,8051.29,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,90695,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos"
6,1,Brasil,1550,Milhões de Reais,17215.92,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,90694,Construção
7,1,Brasil,1550,Milhões de Reais,209242.39,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,90696,Serviços - total
8,1,Brasil,1550,Milhões de Reais,23778.85,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,90697,Comércio
9,1,Brasil,1550,Milhões de Reais,9209.66,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,90698,"Transporte, armazenagem e correio"
10,1,Brasil,1550,Milhões de Reais,17396.79,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,90699,Informação e comunicação
11,1,Brasil,1550,Milhões de Reais,39392.48,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,90700,"Atividades financeiras, de seguros e serviços relacionados"
12,1,Brasil,1550,Milhões de Reais,35801.14,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,90702,Atividades imobiliárias
13,1,Brasil,1550,Milhões de Reais,47500.96,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,90701,Outras atividades de serviços
14,1,Brasil,1550,Milhões de Reais,41049.94,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,90703,"Administração, saúde e educação públicas e seguridade social"
15,1,Brasil,1550,Milhões de Reais,292610.94,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,90705,Valor adicionado a preços básicos
16,1,Brasil,1550,Milhões de Reais,343847.31,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,90707,PIB a preços de mercado
17,1,Brasil,1550,Milhões de Reais,233197.12,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,93404,Despesa de consumo das famílias
18,1,Brasil,1550,Milhões de Reais,60725.72,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,93405,Despesa de consumo da administração pública
19,1,Brasil,1550,Milhões de Reais,65531.46,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,93406,Formação bruta de capital fixo
20,1,Brasil,1550,Milhões de Reais,52651.16,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,93407,Exportação de bens e serviços
21,1,Brasil,1550,Milhões de Reais,52440.69,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,202503,3º trimestre 2025,93408,Importação de bens e serviços (-)
22,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Setores e subsetores (Código),Setores e subsetores
