,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Setores e subsetores (Código),Setores e subsetores
1,1,Brasil,1550,Milhões de Reais,176191,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,90687,Agropecuária - total
2,1,Brasil,1550,Milhões de Reais,682155,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,90691,Indústria - total
3,1,Brasil,1550,Milhões de Reais,101006,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,90692,Indústrias extrativas
4,1,Brasil,1550,Milhões de Reais,410990,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,90693,Indústrias de transformação
5,1,Brasil,1550,Milhões de Reais,65882,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,90695,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos"
6,1,Brasil,1550,Milhões de Reais,104277,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,90694,Construção
7,1,Brasil,1550,Milhões de Reais,1928012,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,90696,Serviços - total
8,1,Brasil,1550,Milhões de Reais,332614,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,90697,Comércio
9,1,Brasil,1550,Milhões de Reais,105450,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,90698,"Transporte, armazenagem e correio"
10,1,Brasil,1550,Milhões de Reais,99299,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,90699,Informação e comunicação
11,1,Brasil,1550,Milhões de Reais,229022,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,90700,"Atividades financeiras, de seguros e serviços relacionados"
12,1,Brasil,1550,Milhões de Reais,243121,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,90702,Atividades imobiliárias
13,1,Brasil,1550,Milhões de Reais,493063,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,90701,Outras atividades de serviços
14,1,Brasil,1550,Milhões de Reais,425445,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,90703,"Administração, saúde e educação públicas e seguridade social"
15,1,Brasil,1550,Milhões de Reais,2786359,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,90705,Valor adicionado a preços básicos
16,1,Brasil,1550,Milhões de Reais,449349,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,90706,Impostos líquidos sobre produtos
17,1,Brasil,1550,Milhões de Reais,3235708,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,90707,PIB a preços de mercado
18,1,Brasil,1550,Milhões de Reais,2050092,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,93404,Despesa de consumo das famílias
19,1,Brasil,1550,Milhões de Reais,607065,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,93405,Despesa de consumo da administração pública
20,1,Brasil,1550,Milhões de Reais,558726,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,93406,Formação bruta de capital fixo
21,1,Brasil,1550,Milhões de Reais,16607,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,102880,Variação de estoque
22,1,Brasil,1550,Milhões de Reais,580544,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,93407,Exportação de bens e serviços
23,1,Brasil,1550,Milhões de Reais,577327,1,Brasil,585,Valores a preços correntes,202503,3º trimestre 2025,93408,Importação de bens e serviços (-)
24,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Setores e subsetores (Código),Setores e subsetores
