,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Setores e subsetores (Código),Setores e subsetores
1,1,Brasil,1550,Milhões de Reais,24070.26,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,90687,Agropecuária - total
2,1,Brasil,1550,Milhões de Reais,63128.97,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,90691,Indústria - total
3,1,Brasil,1550,Milhões de Reais,3102.37,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,90692,Indústrias extrativas
4,1,Brasil,1550,Milhões de Reais,32323.63,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,90693,Indústrias de transformação
5,1,Brasil,1550,Milhões de Reais,7847.45,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,90695,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos"
6,1,Brasil,1550,Milhões de Reais,17642.73,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,90694,Construção
7,1,Brasil,1550,Milhões de Reais,213034.89,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,90696,Serviços - total
8,1,Brasil,1550,Milhões de Reais,24808.22,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,90697,Comércio
9,1,Brasil,1550,Milhões de Reais,9465.09,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,90698,"Transporte, armazenagem e correio"
10,1,Brasil,1550,Milhões de Reais,17449.11,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,90699,Informação e comunicação
11,1,Brasil,1550,Milhões de Reais,39514.66,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,90700,"Atividades financeiras, de seguros e serviços relacionados"
12,1,Brasil,1550,Milhões de Reais,36098.48,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,90702,Atividades imobiliárias
13,1,Brasil,1550,Milhões de Reais,48112.85,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,90701,Outras atividades de serviços
14,1,Brasil,1550,Milhões de Reais,41474.25,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,90703,"Administração, saúde e educação públicas e seguridade social"
15,1,Brasil,1550,Milhões de Reais,298189.42,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,90705,Valor adicionado a preços básicos
16,1,Brasil,1550,Milhões de Reais,51867.30,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,90706,Impostos líquidos sobre produtos
17,1,Brasil,1550,Milhões de Reais,350631.43,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,90707,PIB a preços de mercado
18,1,Brasil,1550,Milhões de Reais,235568.72,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,93404,Despesa de consumo das famílias
19,1,Brasil,1550,Milhões de Reais,61593.51,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,93405,Despesa de consumo da administração pública
20,1,Brasil,1550,Milhões de Reais,67377.62,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,93406,Formação bruta de capital fixo
21,1,Brasil,1550,Milhões de Reais,55385.15,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,93407,Exportação de bens e serviços
22,1,Brasil,1550,Milhões de Reais,54723.46,1,Brasil,9318,Valores encadeados a preços de 1995,202503,3º trimestre 2025,93408,Importação de bens e serviços (-)
23,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Setores e subsetores (Código),Setores e subsetores
